title,author,length
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,Length: 4 hrs and 46 mins
Hell Divers,Nicholas Sansbury Smith,Length: 10 hrs and 11 mins
Double Pucked,Lauren Blakely,Length: 8 hrs and 29 mins
Pretty Girls,Karin Slaughter,Length: 20 hrs
Attached,"Amir Levine,Rachel Heller",Length: 7 hrs and 4 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
The Magician's Daughter,H. G. Parry,Length: 15 hrs and 4 mins
The Silent Patient,Alex Michaelides,Length: 8 hrs and 51 mins
Dragon Blood - Omnibus,Lindsay Buroker,Length: 27 hrs and 34 mins
Cutting for Stone,Abraham Verghese,Length: 23 hrs and 54 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
The Ballad of Songbirds and Snakes,Suzanne Collins,Length: 16 hrs and 16 mins
The Richest Man in Babylon,George S. Clason,Length: 4 hrs and 4 mins
Leaders Eat Last,Simon Sinek,Length: 9 hrs and 23 mins
The Sacred Mushroom and the Cross,John M. Allegro,Length: 10 hrs and 33 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
The Wager,David Grann,Length: 8 hrs and 28 mins
Becoming Free Indeed,"Jinger Duggar Vuolo,Corey Williams",Length: 5 hrs and 49 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
Understanding Effective Parenting and Teaching Practices Through Qualitative Research Methods,Gregg Krasnodebski,Length: 1 hr and 31 mins
The Holy Bible: King James Version,King James Bible,Length: 82 hrs and 53 mins
11-22-63,Stephen King,Length: 30 hrs and 40 mins
The Institute,Stephen King,Length: 18 hrs and 59 mins
Never Lie,Freida McFadden,Length: 7 hrs and 21 mins
The Midnight Library,Matt Haig,Length: 8 hrs and 50 mins
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Length: 15 hrs and 57 mins
All the Sinners Bleed,S. A. Cosby,Length: 13 hrs and 5 mins
Meet Me at the Lake,Carley Fortune,Length: 9 hrs and 56 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Becoming,Michelle Obama,Length: 19 hrs and 3 mins
The Priory of the Orange Tree,Samantha Shannon,Length: 25 hrs and 52 mins
The Seven Principles for Making Marriage Work,"John M. Gottman PhD,Nan Silver",Length: 10 hrs and 17 mins
Yellowface,R. F. Kuang,Length: 8 hrs and 39 mins
8 Rules of Love,Jay Shetty,Length: 10 hrs and 21 mins
Brain Energy,Christopher M. Palmer MD,Length: 12 hrs and 18 mins
Paris,Paris Hilton,Length: 8 hrs and 22 mins
The Righteous Mind,Jonathan Haidt,Length: 11 hrs and 1 min
Catching Fire,Suzanne Collins,Length: 11 hrs and 3 mins
Night,Elie Wiesel,Length: 4 hrs and 17 mins
The Highly Sensitive Person,Elaine N. Aron,Length: 9 hrs and 57 mins
